1.106708 cert_ms23,11.1.498295 Live,12.1.700123 cert_ms30_oct19
3110,2F6B,31A1
3111,2F6C,31A2
3112,2F6D,31A3
3113,2F6E,31A4
3114,2F6F,31A5
3115,2F70,31A6
3116,2F71,31A7
28C8,2BD2,31A8
3117,2F72,31A9
2883,28D0,31AA
3118,2F73,31AB
3119,2F74,31AC
28CF,2927,31AD
311A,2F75,31AE
29FA,292A,31AF
2881,28CE,31B0
311B,2F76,31B1
311C,2F77,31B2
2CF5,2C1B,3252
2869,28B6,3253
286B,28B8,3254
286A,28B7,3255
286C,28B9,3256
286D,28BA,3257
317A,2FED,3258
286E,28BB,3259
286F,28BC,325A
2870,28BD,325B
317B,2FEE,325C
317C,2FEF,325D
317D,2FF0,325E
143C,0C5C,110A
143D,0C5D,110B
143B,0C5B,1109
2CDA,2BF7,325F
3104,2F5F,3195
3105,2F60,3196
3106,2F61,3197
3107,2F62,3198
3108,2F63,3199
3109,2F64,319A
310A,2F65,319B
310B,2F66,319C
310C,2F67,319D
310D,2F68,319E
30F4,2FF1,3264
30F5,2FF2,3265
0E0D,0931,0A00
03DC,02F5,031A
0600,0517,0545
0529,0442,0467
2D35,2C5B,3266
287D,28CA,3389
287E,28CB,338A
287F,28CC,338B
2880,28CD,338C
2882,28CF,338D
2884,28D1,338E
21B7,1780,1C53
21B8,1781,1C54
21B9,1782,1C55
1908,0E32,1395
1909,0E33,1396
190A,0E34,1397
190B,0E35,1398
190C,0E36,1399
190D,0E37,139A
1BD9,0FA7,1505
1BDA,0FA9,1507
1BDB,0FAA,1508
1BDC,11CC,16FB
05A1,04B8,04E0
1BDD,11CD,16FC
1BDE,0FAB,1509
1BDF,11CE,16FD
1BE0,11CF,16FE
1BE1,11D0,16FF
1BE3,0FAD,150B
1BE4,0FAE,150C
147E,0C9E,114C
1BE5,11D1,1700
1BE6,0FAF,150D
1BE7,11D2,1701
1FE0,15FA,1A71
21BA,1783,1C56
1FE2,15FC,1A73
1FE3,15FD,1A74
1FE4,15FE,1A75
1FE5,15FF,1A76
1FE6,1600,1A77
1FE7,1601,1A78
1FE8,1602,1A79
1FE9,1603,1A7A
1FEA,1604,1A7B
1FEB,1605,1A7C
1FED,1607,1A7E
1FEE,1608,1A7F
1FEF,1609,1A80
1FF0,160A,1A81
1FF1,160B,1A82
1FF3,160D,1A84
1FF4,160E,1A85
1FF6,1610,1A87
1FF7,1611,1A88
1FF8,1612,1A89
1FF9,1613,1A8A
1FFA,1614,1A8B
1FFB,1615,1A8C
